,Model,Fold,Test_Experiment,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
80,XGB,40,40,393,29,27,27,27,393,29,27,0.5,0.9312796208530806,0.48214285714285715,0.9357142857142857
81,XGB,41,41,17,25,5,51,51,17,25,5,0.9107142857142857,0.40476190476190477,0.6710526315789473,0.7727272727272727
82,DT,1,1,44,10,33,29,29,44,10,33,0.46774193548387094,0.8148148148148148,0.7435897435897436,0.5714285714285714
83,DT,2,2,37,22,0,30,30,37,22,0,1.0,0.6271186440677966,0.5769230769230769,1.0
84,DT,3,3,97,14,13,28,28,97,14,13,0.6829268292682927,0.8738738738738738,0.6666666666666666,0.8818181818181818
85,DT,4,4,45,26,0,65,65,45,26,0,1.0,0.6338028169014085,0.7142857142857143,1.0
86,DT,5,5,27,8,13,36,36,27,8,13,0.7346938775510204,0.7714285714285715,0.8181818181818182,0.675
87,DT,6,6,101,21,40,16,16,101,21,40,0.2857142857142857,0.8278688524590164,0.43243243243243246,0.7163120567375887
88,DT,7,7,51,8,7,45,45,51,8,7,0.8653846153846154,0.864406779661017,0.8490566037735849,0.8793103448275862
89,DT,8,8,29,21,14,41,41,29,21,14,0.7454545454545455,0.58,0.6612903225806451,0.6744186046511628
90,DT,9,9,37,42,1,113,113,37,42,1,0.9912280701754386,0.46835443037974683,0.7290322580645161,0.9736842105263158
91,DT,10,10,72,1,67,19,19,72,1,67,0.22093023255813954,0.9863013698630136,0.95,0.5179856115107914
92,DT,11,11,102,48,64,13,13,102,48,64,0.16883116883116883,0.68,0.21311475409836064,0.6144578313253012
93,DT,12,12,46,69,54,26,26,46,69,54,0.325,0.4,0.2736842105263158,0.46
94,DT,13,13,54,18,36,14,14,54,18,36,0.28,0.75,0.4375,0.6
95,DT,14,14,26,41,12,74,74,26,41,12,0.8604651162790697,0.3880597014925373,0.6434782608695652,0.6842105263157895
96,DT,15,15,11,0,18,44,44,11,0,18,0.7096774193548387,1.0,1.0,0.3793103448275862
97,DT,16,16,17,12,19,47,47,17,12,19,0.7121212121212122,0.5862068965517241,0.7966101694915254,0.4722222222222222
98,DT,17,17,24,24,12,37,37,24,24,12,0.7551020408163265,0.5,0.6065573770491803,0.6666666666666666
99,DT,18,18,137,43,0,48,48,137,43,0,1.0,0.7611111111111111,0.5274725274725275,1.0
100,DT,19,19,34,30,0,21,21,34,30,0,1.0,0.53125,0.4117647058823529,1.0
101,DT,20,20,23,21,6,32,32,23,21,6,0.8421052631578947,0.5227272727272727,0.6037735849056604,0.7931034482758621
102,DT,21,21,29,26,0,34,34,29,26,0,1.0,0.5272727272727272,0.5666666666666667,1.0
103,DT,22,22,71,92,0,37,37,71,92,0,1.0,0.43558282208588955,0.2868217054263566,1.0
104,DT,23,23,18,15,0,86,86,18,15,0,1.0,0.5454545454545454,0.8514851485148515,1.0
105,DT,24,24,27,70,0,48,48,27,70,0,1.0,0.27835051546391754,0.4067796610169492,1.0
106,DT,25,25,107,3,25,65,65,107,3,25,0.7222222222222222,0.9727272727272728,0.9558823529411765,0.8106060606060606
107,DT,26,26,101,31,1,29,29,101,31,1,0.9666666666666667,0.7651515151515151,0.48333333333333334,0.9901960784313726
108,DT,27,27,91,169,0,71,71,91,169,0,1.0,0.35,0.29583333333333334,1.0
109,DT,28,28,34,11,5,59,59,34,11,5,0.921875,0.7555555555555555,0.8428571428571429,0.8717948717948718
